epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.5347,1.6067,3.16048,0.95405,0.55329,0.40261,0.46061,0.23085,1.51269,1.3316,0.9404,0.000416012,0.000416012,0.000416012
2,126.733,1.61141,1.09668,0.94648,0.5534,0.40964,0.45794,0.24213,1.43918,1.31799,0.94328,0.000824435,0.000824435,0.000824435
3,188.164,1.56895,1.04202,0.94483,0.57325,0.44581,0.48662,0.25545,1.47463,1.21215,0.94464,0.00122461,0.00122461,0.00122461
4,249.513,1.56275,1.01759,0.94654,0.52145,0.44217,0.47487,0.25502,1.42951,1.08848,0.93273,0.00121287,0.00121287,0.00121287
5,311,1.54587,0.98922,0.93996,0.58099,0.47689,0.51852,0.27423,1.43407,1.05699,0.93697,0.0012005,0.0012005,0.0012005
6,373.031,1.49702,0.94529,0.93235,0.54934,0.45142,0.48492,0.25781,1.41063,1.1516,0.9301,0.00118812,0.00118812,0.00118812
7,434.609,1.48919,0.94483,0.93455,0.60062,0.4591,0.51413,0.27574,1.40499,1.10717,0.92364,0.00117575,0.00117575,0.00117575
8,496.444,1.47296,0.8977,0.92582,0.5982,0.46556,0.51969,0.28883,1.3646,1.04677,0.9158,0.00116337,0.00116337,0.00116337
9,557.838,1.46447,0.89644,0.92251,0.58443,0.46249,0.52887,0.28812,1.38538,1.07628,0.926,0.001151,0.001151,0.001151
10,619.801,1.43478,0.87413,0.92178,0.6081,0.45955,0.5262,0.29269,1.32011,1.04295,0.90629,0.00113863,0.00113863,0.00113863
11,681.146,1.44056,0.86294,0.92107,0.6237,0.45152,0.52982,0.29396,1.32838,1.01156,0.9111,0.00112625,0.00112625,0.00112625
12,742.941,1.43263,0.86236,0.91215,0.61919,0.46056,0.5409,0.2964,1.32181,1.05057,0.90762,0.00111388,0.00111388,0.00111388
