epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.554,2.05476,6.45836,0.91225,0.62123,0.19485,0.20844,0.09383,1.80829,2.08725,0.86941,0.000415356,0.000415356,0.000415356
2,38.8077,1.93454,2.66896,0.88344,0.56606,0.23855,0.27546,0.13664,1.7726,1.55654,0.86215,0.000815549,0.000815549,0.000815549
3,56.9643,1.87738,1.58384,0.87398,0.52334,0.26544,0.28076,0.13444,1.77738,1.5366,0.86358,0.00119924,0.00119924,0.00119924
4,74.9734,1.89345,1.34043,0.8761,0.56667,0.28264,0.31668,0.16428,1.63854,1.35198,0.84667,0.00117575,0.00117575,0.00117575
5,93.0609,1.78743,1.18621,0.87314,0.56958,0.29358,0.31746,0.15218,1.67992,1.3456,0.84704,0.001151,0.001151,0.001151
6,110.69,1.80273,1.1477,0.86097,0.47755,0.31485,0.33293,0.16639,1.65668,1.25398,0.84787,0.00112625,0.00112625,0.00112625
7,128.4,1.75497,1.08399,0.86262,0.50369,0.31126,0.33434,0.17104,1.59994,1.27359,0.8381,0.0011015,0.0011015,0.0011015
8,146.34,1.70727,1.05335,0.85939,0.52082,0.31196,0.34861,0.18138,1.59945,1.32966,0.84463,0.00107675,0.00107675,0.00107675
9,164.666,1.73925,1.04184,0.85936,0.51989,0.31229,0.33145,0.16613,1.59283,1.22818,0.84098,0.001052,0.001052,0.001052
10,181.71,1.68955,1.04584,0.85341,0.5623,0.31004,0.35613,0.18272,1.55499,1.31598,0.83419,0.00102725,0.00102725,0.00102725
11,199.417,1.64046,0.99358,0.84833,0.52039,0.33155,0.36011,0.18885,1.57153,1.27344,0.83616,0.0010025,0.0010025,0.0010025
12,217.532,1.63745,0.97948,0.84845,0.52463,0.32804,0.36066,0.19129,1.4944,1.28647,0.83213,0.00097775,0.00097775,0.00097775
13,233.99,1.61479,0.95796,0.83719,0.55254,0.31261,0.35376,0.18718,1.49446,1.3003,0.82913,0.000953,0.000953,0.000953
14,251.692,1.59698,0.94045,0.84645,0.57523,0.32346,0.36412,0.18586,1.55359,1.21837,0.83795,0.00092825,0.00092825,0.00092825
15,269.674,1.59657,0.94105,0.84597,0.55466,0.32797,0.36484,0.18752,1.53547,1.26525,0.82756,0.0009035,0.0009035,0.0009035
16,288.205,1.56954,0.90195,0.84316,0.59679,0.32239,0.36811,0.19647,1.46674,1.27463,0.82956,0.00087875,0.00087875,0.00087875
17,306.245,1.58958,0.92072,0.84162,0.5542,0.33174,0.37273,0.19709,1.4856,1.36053,0.82518,0.000854,0.000854,0.000854
18,323.705,1.55872,0.91203,0.83918,0.56957,0.33646,0.38723,0.20436,1.44301,1.14752,0.82365,0.00082925,0.00082925,0.00082925
19,340.414,1.51874,0.87948,0.84086,0.60204,0.30944,0.36269,0.19312,1.41699,1.31904,0.82058,0.0008045,0.0008045,0.0008045
20,357.536,1.53477,0.88291,0.83783,0.58144,0.33679,0.38216,0.20981,1.42234,1.31488,0.82071,0.00077975,0.00077975,0.00077975
21,374.654,1.52506,0.87976,0.83998,0.56962,0.32856,0.37389,0.20231,1.40879,1.22794,0.81573,0.000755,0.000755,0.000755
22,391.35,1.51891,0.86947,0.83361,0.58753,0.33924,0.38712,0.20932,1.4004,1.18708,0.81651,0.00073025,0.00073025,0.00073025
23,407.847,1.53577,0.86389,0.83817,0.57838,0.33616,0.38439,0.2116,1.39177,1.28298,0.82073,0.0007055,0.0007055,0.0007055
24,424.763,1.48851,0.84155,0.83803,0.58058,0.3474,0.38707,0.21398,1.42687,1.09549,0.81981,0.00068075,0.00068075,0.00068075
25,441.898,1.52072,0.85728,0.83239,0.60695,0.35023,0.39661,0.22317,1.38746,1.05606,0.8174,0.000656,0.000656,0.000656
